Title	URL	Assignees	Status
Solder, Laser Cutting	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/1	IshanjotDhahan7868	
Reading Week, No Class Scheduled	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/2	IshanjotDhahan7868	
Parts arrival (November 3 Midterm Grades Due)	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/3	IshanjotDhahan7868	
PCB Assembly and testing	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/4	IshanjotDhahan7868	
Coding	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/5	IshanjotDhahan7868	Todo
Troubleshooting	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/6	IshanjotDhahan7868	
Demonstration	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/7	IshanjotDhahan7868	
Final Presentation	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/8	IshanjotDhahan7868	
Final Presentation	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/9	IshanjotDhahan7868	
Proof of purchase, KiCad	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/10	IshanjotDhahan7868	
Public Holiday (Thanksgiving) - College Closed	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/11	IshanjotDhahan7868	
Build instructions (Hardware report)	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/12	IshanjotDhahan7868	
Bill of Materials	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/14	IshanjotDhahan7868	
Winter Semester Starts	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/15	IshanjotDhahan7868	
Last Day of Class	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/16	IshanjotDhahan7868	
Course Introduction and Schedule, Group Project Proposal	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/17	IshanjotDhahan7868	Done
Hardware status by student A, declaration of authorship	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/18	IshanjotDhahan7868	
Mobile status report by student B, laser cutting	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/19	IshanjotDhahan7868	
database status report by student C, 3D printing (incl. library session sign up)	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/20		
Hardware/Firmware, Database, and Mobile App Independent Demonstration, all parts should work independently	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/21	IshanjotDhahan7868	
Kicad, Laser Cutting, 3D printing Continued	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/22	IshanjotDhahan7868	
Reading Week, No Class Scheduled	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/23	IshanjotDhahan7868	
Poster Draft, unit and production testing	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/24	IshanjotDhahan7868	
Enclosure and integration status	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/25	IshanjotDhahan7868	
Report Checklist	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/26	IshanjotDhahan7868	
Presentation Due, Preliminary Demonstrations	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/27	IshanjotDhahan7868	
Troubleshooting, Project Demonstration	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/28	IshanjotDhahan7868	
Group final presentation poster	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/29	IshanjotDhahan7868	
Hardware Connectivity status report by student D, firmware	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/30	IshanjotDhahan7868	
Last day of college (Winter semester)	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/31	IshanjotDhahan7868	
Good Friday	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/32	IshanjotDhahan7868	
family day (public holiday)	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/33	IshanjotDhahan7868	
Winter semester begins	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/34	IshanjotDhahan7868	
Holiday Begins	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/35	IshanjotDhahan7868	
Course Introduction and Schedule, First Class Sheet, Project Proposal	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/36	IshanjotDhahan7868	
Project Selection, 3D printing tutorial and library session sign up	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/37	IshanjotDhahan7868	
Project Roadmap	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/38	IshanjotDhahan7868	
