Title	URL	Assignees	Status	Soldering	Class week 4	Semester 2
Project Selection, 3D printing tutorial and library session sign up	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/37	IshanjotDhahan7868		Sep 13, 2023		
Course Introduction and Schedule, First Class Sheet, Project Proposal	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/36	IshanjotDhahan7868		Sep 13, 2023		
Project Roadmap	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/38	IshanjotDhahan7868		Sep 25, 2023		
Bill of Materials	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/14	IshanjotDhahan7868		Sep 25, 2023		
Proof of purchase, KiCad	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/10	IshanjotDhahan7868		Oct 2, 2023		
Public Holiday (Thanksgiving) - College Closed	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/11	IshanjotDhahan7868		Oct 9, 2023		
Solder, Laser Cutting	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/1	IshanjotDhahan7868		Oct 16, 2023		
Reading Week, No Class Scheduled	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/2	IshanjotDhahan7868		Oct 23, 2023		
Parts arrival (November 3 Midterm Grades Due)	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/3	IshanjotDhahan7868		Oct 30, 2023		
PCB Assembly and testing	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/4	IshanjotDhahan7868		Nov 6, 2023		
Coding	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/5	IshanjotDhahan7868	Todo	Nov 13, 2023		
Troubleshooting	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/6	IshanjotDhahan7868		Nov 20, 2023		
Demonstration	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/7	IshanjotDhahan7868		Nov 27, 2023		
Final Presentation	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/8	IshanjotDhahan7868				
Final Presentation	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/9	IshanjotDhahan7868		Dec 4, 2023		
Build instructions (Hardware report)	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/12	IshanjotDhahan7868		Dec 11, 2023		
Winter Semester Starts	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/15	IshanjotDhahan7868		Jan 3, 2024		
Last Day of Class	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/16	IshanjotDhahan7868		Dec 17, 2023		
Course Introduction and Schedule, Group Project Proposal	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/17	IshanjotDhahan7868	Done	Jan 9, 2024		Jan 9, 2024
Hardware status by student A, declaration of authorship	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/18	IshanjotDhahan7868		Jan 16, 2024		Jan 16, 2024
Mobile status report by student B, laser cutting	https://github.com/IshanjotDhahan7868/hardware-project-IshanjotDhahan7868/issues/19	IshanjotDhahan7868		Jan 23, 2024		Jan 23, 2024
